[17/5/2021 9:47:24] /b tem cast n?
[17/5/2021 13:17:3] /b fala ai
[17/5/2021 13:17:41] /a
[17/5/2021 13:17:49] /t
[19/5/2021 0:37:39] /a 5
[19/5/2021 0:37:39] /a 5
[19/5/2021 0:37:39] /a 5
[19/5/2021 0:37:39] /a 5
[19/5/2021 0:37:39] /a 5
[19/5/2021 0:37:40] /a 5
[19/5/2021 0:37:40] /a 5
[19/5/2021 0:37:40] /a 5
[19/5/2021 0:37:41] /a 5
[19/5/2021 0:37:41] /a 5
[19/5/2021 0:37:41] /a 5
[19/5/2021 0:37:41] /a 5
[19/5/2021 0:37:41] /a 5
[19/5/2021 0:37:42] /a 5
[19/5/2021 0:37:42] /a 5
[19/5/2021 0:37:43] /a 5
[19/5/2021 0:37:43] /a 5
[19/5/2021 0:37:43] /a 5
[19/5/2021 0:37:44] /a 5
[19/5/2021 0:37:45] /a 5
[19/5/2021 0:37:45] /a 5
[19/5/2021 0:37:47] /a 5
[19/5/2021 0:37:47] /a 5
[19/5/2021 0:37:47] /a 5
[19/5/2021 0:37:48] /a 5
[19/5/2021 0:37:48] /a 5
[19/5/2021 0:37:48] /a 5
[19/5/2021 0:37:49] /a 5
[19/5/2021 0:37:49] /a 5
[19/5/2021 0:37:50] /a 5
[19/5/2021 0:37:50] /a 5
[19/5/2021 0:37:50] /a 5
[19/5/2021 0:37:51] /a 5
[19/5/2021 0:37:51] /a 5
[19/5/2021 0:37:51] /a 5
[19/5/2021 0:37:53] /a 5
[19/5/2021 0:37:54] /a 5
[19/5/2021 0:37:54] /a 5
[19/5/2021 0:37:54] /a 5
[19/5/2021 0:37:54] /a 5
[19/5/2021 0:37:55] /a 5
[19/5/2021 0:37:55] /a 5
[19/5/2021 0:37:55] /a 5
[19/5/2021 0:37:57] /a 5
[19/5/2021 0:37:57] /a 5
[19/5/2021 0:37:59] /a 5
[19/5/2021 0:37:59] /a 5
[19/5/2021 0:37:59] /a 5
[19/5/2021 0:38:0] /a 5
[19/5/2021 0:38:0] /a 5
[19/5/2021 0:38:1] /a 5
[19/5/2021 0:38:1] /a 5
[19/5/2021 0:38:2] /a 5
[19/5/2021 0:38:2] /a 5
[19/5/2021 0:38:2] /a 5
[19/5/2021 0:38:3] /a 5
[19/5/2021 0:38:3] /a 5
[19/5/2021 0:38:3] /a 5
[19/5/2021 0:38:4] /a 5
[19/5/2021 0:38:4] /a 5
[19/5/2021 0:38:5] /a 5
[19/5/2021 0:38:6] /a 5
[19/5/2021 0:38:8] /a 5
[19/5/2021 0:38:14] /a 5
[19/5/2021 0:41:17] /a 5
[19/5/2021 0:41:18] /a 5
[19/5/2021 0:41:21] /t
[19/5/2021 0:41:44] /t
[19/5/2021 0:42:7] /t
[19/5/2021 8:49:15] /ghost
[19/5/2021 8:50:37] /t
[19/5/2021 8:53:36] /ghost
[19/5/2021 8:53:38] /ghost
[19/5/2021 8:53:56] /ghost
[19/5/2021 9:46:3] /ghost
[19/5/2021 9:47:25] /ghost
[19/5/2021 19:51:25] /ghost
[19/5/2021 19:51:45] /t
[19/5/2021 20:49:16] /b salve nubada
[20/5/2021 8:57:7] /b bom dia
[20/5/2021 8:57:21] /ghost
[20/5/2021 11:0:16] /ghost
[20/5/2021 11:5:29] /ghost
[20/5/2021 11:14:13] /ghost
[20/5/2021 11:15:5] /ghost
[20/5/2021 12:47:40] /ghost
[20/5/2021 12:50:11] /t
[20/5/2021 12:50:12] /a 5
[20/5/2021 12:50:14] /a 5
[20/5/2021 12:50:24] /ghost
[20/5/2021 12:50:27] /t
[20/5/2021 12:50:27] /t
[20/5/2021 15:28:42] /ghost
[20/5/2021 15:29:22] /t
[20/5/2021 15:30:13] /b Boa tarde
[20/5/2021 15:30:16] /b Boa tarde
[20/5/2021 15:30:16] /b Boa tarde
[20/5/2021 15:30:17] /b Boa tarde
[20/5/2021 19:29:3] /t
[20/5/2021 19:29:3] /t
[20/5/2021 19:29:4] /t
[20/5/2021 19:29:8] /t
[20/5/2021 19:29:25] /t
[20/5/2021 19:29:40] /t
[20/5/2021 19:29:53] /b bora x1 templo
[20/5/2021 19:30:12] /b quem me mata ganha dnt
[20/5/2021 19:33:27] /t
[20/5/2021 19:35:28] /b Evento dice templo gogogoo
[20/5/2021 19:35:29] /b Evento dice templo gogogoo
[20/5/2021 19:35:29] /b Evento dice templo gogogoo
[20/5/2021 19:35:30] /t
[20/5/2021 19:35:32] /b Evento dice templo gogogoo
[20/5/2021 19:35:36] /b Evento dice templo gogogoo
[20/5/2021 19:35:41] /b Evento dice templo gogogoo
[20/5/2021 19:35:43] /b Evento dice templo gogogoo
[20/5/2021 19:35:54] /b Evento dice templo gogogoo
[20/5/2021 19:35:54] /b Evento dice templo gogogoo
[20/5/2021 19:36:27] /b Evento dice templo do lado da cave lvl 450
[20/5/2021 19:36:31] /b Evento dice templo do lado da cave lvl 450
[20/5/2021 19:36:33] /b Evento dice templo do lado da cave lvl 450
[20/5/2021 19:36:46] /b Evento dice templo do lado da cave lvl 450
[20/5/2021 19:36:49] /b Evento dice templo do lado da cave lvl 450
[20/5/2021 19:36:52] /b Evento dice templo do lado da cave lvl 450
[20/5/2021 19:37:30] /b Evento dice templo do lado da cave lvl 450
[20/5/2021 19:37:49] /b Evento dice templo do lado da cave lvl 450
[20/5/2021 19:39:18] /b Evento dice templo do lado da cave lvl 450
[20/5/2021 19:39:18] /b Evento dice templo do lado da cave lvl 450
[20/5/2021 19:39:19] /b Evento dice templo do lado da cave lvl 450
[20/5/2021 19:40:0] /goto ADM Wolf
[20/5/2021 19:40:23] /mc
[20/5/2021 19:42:5] /t
[20/5/2021 20:3:19] /a 5
[20/5/2021 20:12:49] /ghost
[20/5/2021 20:30:59] /ghost
[20/5/2021 20:35:55] /ghost
[20/5/2021 21:28:36] /ghost
[20/5/2021 21:29:4] /a 5
[20/5/2021 21:29:5] /a 5
[20/5/2021 21:35:15] /t
[20/5/2021 21:40:7] /b Evento dice templo do lado da cave lvl 450
[20/5/2021 21:41:26] /ghost
[20/5/2021 21:45:8] /goto loothing
[20/5/2021 21:46:54] /ghost
[20/5/2021 21:52:35] /ghost
[20/5/2021 21:57:3] /ghost
[20/5/2021 21:58:56] /a 5
[20/5/2021 21:58:57] /a 5
[20/5/2021 21:58:57] /a 5
[20/5/2021 21:59:26] /a 5
[20/5/2021 21:59:26] /a 5
[20/5/2021 21:59:26] /a 5
[20/5/2021 21:59:28] /a 5
[20/5/2021 21:59:28] /a 5
[20/5/2021 21:59:36] /a 5
[20/5/2021 21:59:37] /a 5
[20/5/2021 21:59:37] /a 5
[20/5/2021 21:59:37] /a 5
[20/5/2021 21:59:38] /a 5
[20/5/2021 21:59:39] /a 5
[20/5/2021 21:59:39] /a 5
[20/5/2021 21:59:39] /a 5
[20/5/2021 21:59:40] /a 5
[20/5/2021 21:59:40] /a 5
[20/5/2021 21:59:42] /a 5
[20/5/2021 21:59:43] /a 5
[20/5/2021 21:59:43] /a 5
[20/5/2021 21:59:45] /a 5
[20/5/2021 21:59:47] /a 5
[20/5/2021 21:59:47] /a 5
[20/5/2021 21:59:47] /a 5
[20/5/2021 21:59:48] /a 5
[20/5/2021 21:59:48] /a 5
[20/5/2021 21:59:48] /a 5
[20/5/2021 21:59:48] /a 5
[20/5/2021 21:59:50] /a 5
[20/5/2021 21:59:50] /a 5
[20/5/2021 21:59:51] /a 5
[20/5/2021 21:59:52] /a 5
[20/5/2021 21:59:58] /a 5
[20/5/2021 21:59:58] /a 5
[20/5/2021 21:59:59] /a 5
[20/5/2021 21:59:59] /a 5
[20/5/2021 21:59:59] /a 5
[20/5/2021 21:59:59] /a 5
[20/5/2021 22:0:0] /a 5
[20/5/2021 22:0:0] /a 5
[20/5/2021 22:0:1] /a 5
[20/5/2021 22:0:1] /a 5
[20/5/2021 22:2:45] /ghost
[20/5/2021 22:3:37] /ghost
[20/5/2021 22:4:0] /a 5
[20/5/2021 22:4:0] /a 5
[20/5/2021 22:4:0] /a 5
[20/5/2021 22:4:0] /a 5
[20/5/2021 22:4:0] /a 5
[20/5/2021 22:4:2] /a 5
[20/5/2021 22:4:2] /a 5
[20/5/2021 22:4:2] /a 5
[20/5/2021 22:4:4] /a 5
[20/5/2021 22:4:4] /a 5
[20/5/2021 22:4:9] /a 5
[20/5/2021 22:4:9] /a 5
[20/5/2021 22:4:9] /a 5
[20/5/2021 22:4:10] /a 5
[20/5/2021 22:4:10] /a 5
[20/5/2021 22:4:10] /a 5
[20/5/2021 22:4:10] /a 5
[20/5/2021 22:4:10] /a 5
[20/5/2021 22:4:11] /a 5
[20/5/2021 22:4:11] /a 5
[20/5/2021 22:4:13] /a 5
[20/5/2021 22:4:14] /a 5
[20/5/2021 22:4:15] /a 5
[20/5/2021 22:4:16] /a 5
[20/5/2021 22:4:44] /a 5
[20/5/2021 22:4:45] /t
[20/5/2021 22:6:56] /goto neno 
[20/5/2021 22:7:25] /ghost
[20/5/2021 22:9:41] /r
[20/5/2021 22:11:11] /b evento daqui 15 minuto
[20/5/2021 22:14:36] /b up
[20/5/2021 22:15:8] /b insane da goto ai
[20/5/2021 22:17:51] /b mds
[21/5/2021 16:47:35] /ghost
[21/5/2021 17:2:7] /t
[21/5/2021 17:3:25] /t
[21/5/2021 17:7:3] /t
[21/5/2021 17:19:25] /t
[21/5/2021 17:21:0] /ghost
[21/5/2021 18:11:5] /ghost
[21/5/2021 19:55:52] /ghost
[21/5/2021 20:20:45] /ghost
[21/5/2021 21:2:8] /ghost
[21/5/2021 21:2:14] /ghost
[21/5/2021 21:2:15] /t
[21/5/2021 21:2:29] /a 5
[21/5/2021 21:2:53] /t
[22/5/2021 9:30:48] /ghost
[22/5/2021 19:32:37] /ghost
[22/5/2021 19:33:13] /ghost
[27/5/2021 13:27:48] /t
[27/5/2021 13:27:49] /a 5
[27/5/2021 13:27:50] /t
[27/5/2021 13:31:31] /ghost
